Member_number,Date,itemDescription
1808,21-07-2015,tropical fruit
2552,05-01-2015,whole milk
2300,19-09-2015,pip fruit
1187,12-12-2015,other vegetables
3037,01-02-2015,whole milk
4941,14-02-2015,rolls/buns
4501,08-05-2015,other vegetables
3803,23-12-2015,pot plants
2762,20-03-2015,whole milk
4119,12-02-2015,tropical fruit
1340,24-02-2015,citrus fruit
2193,14-04-2015,beef
1997,21-07-2015,frankfurter
4546,03-09-2015,chicken
4736,21-07-2015,butter
1959,30-03-2015,fruit/vegetable juice
1974,03-05-2015,packaged fruit/vegetables
2421,02-09-2015,chocolate
1513,03-08-2015,specialty bar
1905,07-07-2015,other vegetables
2810,08-09-2015,butter milk
2867,12-11-2015,whole milk
3962,18-09-2015,tropical fruit
1088,30-11-2015,tropical fruit
4976,17-07-2015,bottled water
4056,12-06-2015,yogurt
3611,13-02-2015,sausage
1420,14-01-2015,other vegetables
4286,08-03-2015,brown bread
4918,27-01-2015,yogurt
4783,22-10-2015,hamburger meat
3709,26-10-2015,root vegetables
4289,08-10-2015,pork
1559,03-10-2015,beef
2900,11-04-2015,pastry
1905,21-02-2015,fruit/vegetable juice
3527,29-09-2015,canned beer
1495,09-01-2015,root vegetables
3558,03-04-2015,citrus fruit
3128,20-04-2015,sausage
1863,04-08-2015,tropical fruit
3841,19-07-2015,berries
3903,06-10-2015,canned beer
2658,16-10-2015,butter milk
4272,06-06-2015,coffee
1120,26-09-2015,pastry
2676,15-08-2015,rolls/buns
1697,21-05-2015,misc. beverages
2507,25-08-2015,root vegetables
4620,11-03-2015,sausage
3365,01-02-2015,canned beer
2978,05-06-2015,ham
2910,28-07-2015,turkey
1061,05-09-2015,whole milk
3276,03-04-2015,whole milk
1326,19-06-2015,packaged fruit/vegetables
3023,28-07-2015,rolls/buns
2185,11-10-2015,ham
3552,16-06-2015,rolls/buns
1967,20-01-2015,other vegetables
4708,20-03-2015,sausage
2874,15-02-2015,sausage
4177,13-04-2015,frankfurter
1663,07-02-2015,rolls/buns
2632,02-03-2015,whole milk
1377,14-03-2015,curd cheese
4162,22-12-2015,red/blush wine
2270,01-07-2015,sausage
4829,03-11-2015,tropical fruit
3811,14-04-2015,red/blush wine
4766,29-09-2015,whole milk
2436,12-04-2015,frankfurter
3860,05-05-2015,whole milk
4875,12-05-2015,frozen potato products
1587,01-07-2015,other vegetables
4038,08-07-2015,citrus fruit
4750,21-09-2015,flour
1199,10-12-2015,sugar
1603,30-09-2015,frozen meals
3111,31-01-2015,chocolate
3894,13-12-2015,root vegetables
1456,18-09-2015,root vegetables
2022,04-03-2015,herbs
2505,30-11-2015,bottled water
4851,20-12-2015,sausage
4293,04-08-2015,coffee
2775,06-11-2015,pork
3693,18-02-2015,berries
1202,22-07-2015,soda
3699,23-08-2015,berries
4152,15-04-2015,fruit/vegetable juice
4155,26-01-2015,citrus fruit
4010,29-12-2015,pork
4389,20-10-2015,detergent
3746,17-08-2015,grapes
2560,17-05-2015,sausage
1503,25-07-2015,chicken
2555,23-12-2015,whole milk
3645,12-12-2015,citrus fruit
3886,11-09-2015,soda
2932,20-03-2015,sausage
1711,18-06-2015,frankfurter
4291,08-12-2015,sausage
1143,25-04-2015,soda
4564,08-07-2015,rolls/buns
3337,14-05-2015,beef
4931,04-05-2015,whole milk
2623,10-10-2015,processed cheese
4581,03-04-2015,tropical fruit
2635,11-06-2015,frankfurter
1095,30-10-2015,packaged fruit/vegetables
2990,23-05-2015,whole milk
2426,05-06-2015,berries
4555,07-11-2015,citrus fruit
3635,04-09-2015,tropical fruit
3058,18-05-2015,hamburger meat
4391,26-03-2015,hamburger meat
1306,23-06-2015,whole milk
1024,10-08-2015,fish
1295,23-07-2015,frankfurter
1661,01-06-2015,packaged fruit/vegetables
4591,15-05-2015,pastry
3169,14-06-2015,other vegetables
3915,21-05-2015,misc. beverages
1127,14-01-2015,frankfurter
4828,08-08-2015,sparkling wine
3683,10-06-2015,specialty bar
1971,18-09-2015,sausage
3014,11-11-2015,curd cheese
3779,15-09-2015,frankfurter
2489,04-05-2015,whole milk
3564,27-06-2015,newspapers
4092,30-09-2015,berries
3221,13-01-2015,curd
1279,06-09-2015,tropical fruit
2581,22-08-2015,soda
2295,25-02-2015,rolls/buns
4760,22-02-2015,canned beer
3649,16-01-2015,canned beer
1075,19-11-2015,frankfurter
3987,19-08-2015,other vegetables
4106,25-08-2015,whole milk
4338,24-06-2015,whole milk
4166,06-11-2015,citrus fruit
1211,10-03-2015,frankfurter
3954,21-01-2015,frankfurter
3928,18-07-2015,butter milk
3827,30-09-2015,hamburger meat
4699,08-02-2015,pasta
4747,08-06-2015,other vegetables
3028,09-06-2015,sausage
2851,16-03-2015,rolls/buns
4417,25-02-2015,grapes
3822,07-03-2015,root vegetables
2288,31-05-2015,coffee
2184,30-06-2015,popcorn
4554,27-08-2015,whole milk
3361,05-03-2015,tropical fruit
2999,17-04-2015,beef
2614,25-06-2015,whole milk
4064,05-06-2015,frankfurter
3567,04-10-2015,tropical fruit
2587,07-05-2015,canned beer
3783,17-06-2015,finished products
1923,14-02-2015,beverages
4835,19-02-2015,hamburger meat
1514,24-08-2015,whole milk
3154,22-06-2015,finished products
1313,25-12-2015,other vegetables
2794,18-07-2015,ham
2359,09-04-2015,other vegetables
2238,09-03-2015,curd
3795,17-01-2015,bottled beer
3724,26-11-2015,curd
1152,05-03-2015,whole milk
4559,16-03-2015,whole milk
3922,27-02-2015,dessert
1709,22-04-2015,sausage
2219,17-04-2015,other vegetables
2206,17-10-2015,ham
1752,06-04-2015,other vegetables
3942,10-11-2015,other vegetables
3296,17-08-2015,soda
2257,05-02-2015,herbs
4313,28-07-2015,frankfurter
2001,21-08-2015,rolls/buns
2449,08-07-2015,curd
4914,12-04-2015,frankfurter
2764,24-07-2015,other vegetables
4187,09-05-2015,dog food
1392,20-04-2015,specialty bar
3427,28-04-2015,curd
1411,20-02-2015,frankfurter
3390,14-11-2015,soda
4787,01-08-2015,beef
3310,17-01-2015,canned beer
1782,10-10-2015,pork
3375,26-04-2015,frankfurter
2760,07-01-2015,sausage
4249,13-09-2015,canned beer
2904,06-06-2015,specialty chocolate
4090,26-02-2015,curd
3060,05-07-2015,canned beer
3768,07-10-2015,whole milk
1232,21-01-2015,rolls/buns
1360,23-10-2015,pork
1107,01-10-2015,citrus fruit
2865,04-11-2015,pot plants
2958,14-06-2015,rolls/buns
2448,12-07-2015,butter
1222,24-09-2015,condensed milk
2943,20-06-2015,sausage
2270,11-08-2015,whole milk
3812,21-07-2015,sausage
1482,22-11-2015,beverages
4720,22-02-2015,beverages
1344,04-09-2015,bottled water
2397,04-10-2015,newspapers
4182,12-05-2015,cleaner
4487,10-07-2015,sausage
3467,24-12-2015,newspapers
2443,15-11-2015,sausage
2749,27-01-2015,misc. beverages
4389,13-04-2015,white wine
1674,04-12-2015,sausage
4262,16-10-2015,meat
2082,07-04-2015,frankfurter
4494,06-01-2015,ice cream
2460,28-09-2015,canned beer
4509,29-11-2015,tropical fruit
2267,03-07-2015,meat
4891,05-09-2015,whole milk
3962,20-09-2015,sausage
4964,18-07-2015,frankfurter
2914,30-11-2015,meat
2808,05-05-2015,root vegetables
1085,15-08-2015,root vegetables
3808,18-08-2015,whole milk
4149,07-01-2015,citrus fruit
2331,05-06-2015,citrus fruit
4475,03-04-2015,other vegetables
2761,25-04-2015,citrus fruit
2620,14-12-2015,sausage
3206,13-10-2015,frankfurter
1226,13-04-2015,hard cheese
1395,07-03-2015,cream cheese 
2465,07-06-2015,turkey
3572,09-07-2015,pork
4387,08-05-2015,whole milk
1555,27-03-2015,rolls/buns
1181,16-11-2015,sausage
2814,11-05-2015,ice cream
2794,16-09-2015,liquor
2912,28-01-2015,pip fruit
4667,12-01-2015,root vegetables
2235,25-10-2015,soda
2353,02-05-2015,soda
3449,08-03-2015,sausage
1058,10-11-2015,root vegetables
1027,17-05-2015,pork
3302,22-05-2015,pork
2229,30-05-2015,chocolate
2188,15-08-2015,fruit/vegetable juice
1547,18-04-2015,pickled vegetables
1649,30-06-2015,bottled water
3254,10-09-2015,frankfurter
2818,07-11-2015,tropical fruit
2703,08-05-2015,canned beer
3332,31-01-2015,root vegetables
2473,01-07-2015,meat
2810,30-12-2015,frankfurter
1033,22-04-2015,tropical fruit
4222,27-05-2015,tropical fruit
3679,21-09-2015,citrus fruit
2212,27-08-2015,hamburger meat
1507,22-06-2015,chicken
2870,21-01-2015,chicken
3429,26-04-2015,frankfurter
4148,09-04-2015,canned beer
2970,30-12-2015,turkey
